Area,Continents,UN_Regional_groups
Algeria,Africa,African
Angola,Africa,African
Benin,Africa,African
Botswana,Africa,African
Burkina Faso,Africa,African
Burundi,Africa,African
Cabo Verde,Africa,African
Cameroon,Africa,African
Central African Republic,Africa,African
Chad,Africa,African
Comoros,Africa,African
Congo,Africa,African
Cote d'Ivoire,Africa,African
Democratic Republic of the Congo,Africa,African
Djibouti,Africa,African
Egypt,Africa,African
Eswatini,Africa,African
Ethiopia,Africa,African
Gabon,Africa,African
Gambia,Africa,African
Ghana,Africa,African
Guinea,Africa,African
Guinea-Bissau,Africa,African
Kenya,Africa,African
Lesotho,Africa,African
Liberia,Africa,African
Libya,Africa,African
Madagascar,Africa,African
Malawi,Africa,African
Mali,Africa,African
Mauritania,Africa,African
Mauritius,Africa,African
Morocco,Africa,African
Mozambique,Africa,African
Namibia,Africa,African
Niger,Africa,African
Nigeria,Africa,African
Rwanda,Africa,African
Sao Tome and Principe,Africa,African
Senegal,Africa,African
Seychelles,Africa,African
Sierra Leone,Africa,African
Somalia,Africa,African
South Africa,Africa,African
South Sudan,Africa,African
Sudan,Africa,African
Togo,Africa,African
Tunisia,Africa,African
Uganda,Africa,African
United Republic of Tanzania,Africa,African
Zambia,Africa,African
Zimbabwe,Africa,African
Afghanistan,Asia,Asia_pacific
Bahrain,Asia,Asia_pacific
Bangladesh,Asia,Asia_pacific
Bhutan,Asia,Asia_pacific
Cambodia,Asia,Asia_pacific
China,Asia,Asia_pacific
"China, Hong Kong SAR",Asia,Asia_pacific
"China, Macao SAR",Asia,Asia_pacific
"China, mainland",Asia,Asia_pacific
"China, Taiwan Province of",Asia,Asia_pacific
Democratic People's Republic of Korea,Asia,Asia_pacific
India,Asia,Asia_pacific
Indonesia,Asia,Asia_pacific
Iran (Islamic Republic of),Asia,Asia_pacific
Iraq,Asia,Asia_pacific
Israel,Asia,Western_European
Japan,Asia,Asia_pacific
Jordan,Asia,Asia_pacific
Kazakhstan,Asia,Asia_pacific
Kuwait,Asia,Asia_pacific
Kyrgyzstan,Asia,Asia_pacific
